ID,Date,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Home_Team_Yellowcard,Away_Team_Yellowcard,Home_Team_Redcard,Away_Team_Redcard,Home_Team_Shots,Away_Team_Shots,Home_Team_ShotsonTarget,Away_Team_ShotsonTarget,Home_Team_Possession,Away_Team_Possession,Home_Team_Passes,Away_Team_Passes,Home_Team_Fouls,Away_Team_Fouls,Home_Team_Offside,Away_Team_Offside,Home_Team_Corner,Away_Team_Corner,League
42,24-08-2025,Cagliari,Fiorentina,1,1,4,2,0,0,14,4,6,1,45,55,356,439,18,14,1,4,3,2,Serie a
43,24-08-2025,Como,Lazio,2,0,2,3,0,0,19,5,6,1,64,36,537,309,15,12,0,1,6,0,Serie a
44,24-08-2025,Juventus,Parma,2,0,1,2,1,0,25,8,8,2,65,35,512,275,9,13,0,0,6,6,Serie a
45,24-08-2025,Atalanta,Pisa,1,1,2,0,0,0,21,11,6,2,66,34,552,289,9,10,0,2,10,4,Serie a
46,25-08-2025,Udinese,Verona,1,1,3,2,0,0,14,9,4,3,63,37,486,288,10,14,2,2,5,1,Serie a
47,25-08-2025,Inter,Torino,5,0,0,0,0,0,20,12,9,4,60,40,577,379,14,6,4,1,6,5,Serie a
48,25-08-2025,Athletic Club,Rayo Vallecano,1,0,0,4,0,0,11,6,4,1,40,60,334,498,13,13,0,7,3,6,La Liga
49,25-08-2025,Sevilla,Getafe,1,2,2,2,0,0,12,9,3,6,72,28,533,221,10,24,4,1,5,3,La Liga
50,25-08-2025,Newcastle,Liverpool,2,3,2,3,1,0,10,5,3,4,37,63,248,446,17,15,0,0,7,1,Premier League
51,27-08-2025,Celta Vigo,Real Betis,1,1,1,2,0,0,14,7,5,2,47,53,496,568,13,11,5,2,10,4,La Liga
52,29-08-2025,Elche,Levante,2,0,1,2,0,0,16,11,5,1,68,32,568,272,14,17,1,1,4,2,La Liga
53,29-08-2025,Valencia,Getafe,3,0,2,0,0,0,7,11,4,1,58,42,408,296,18,7,0,5,8,6,La Liga
54,29-08-2025,Cremonese,Sassuolo,3,2,2,2,0,0,11,9,6,6,41,59,359,507,12,17,0,2,5,4,Serie a
55,29-08-2025,Lecce,AC Milan,0,2,1,0,0,0,7,14,2,6,45,55,388,482,10,8,1,4,4,5,Serie a
